Review-Text,Review-Date,Star-Rating,Web-Site
Full Luxury car with all features Best in Class But Diesel has some problem Fuel pump noise after Long drive Engine different noise like something That touching in starting time This noise you found the noise when the glass is down You found dashboard sound MG Looks at this type of problem N solve it to make this car no 1 All this type of problem I see when meeting one of mg customer he live in noida He buy this hector diesel top model from agra He have red hector facing the problem of noise when he start the car Sound of fuel pump And also after 3 months gone the registration of his car is not done after paying the advance registration fee I found at the time of test drive Dashboard sound Mg must go through this type of problem which his customer is facing,"September 18, 2019",5,carwale.com
"This is a China car I have used this car for a short period of time for one month and there were some small scratch on the bumper while driving I scratched a small post and I wanted to repair it so I went to the MG work shop and I asked a claim in the warranty and they refused it and they said that paint is not included in the warranty and I asked the price for painting they said it is 50,000 only I got angry and I left the place and I can’t accept that for a cheap China car I should give this much money this car is not worth and it’s cheap plastic interiors and I exchanged it and bought a Honda CR-V","July 22, 2019",1,carwale.com
"This car being new entrant has been set at the right price between Creta and Harrier. Comparatively has a lot on offer especially features and technology. Really like the tire temperature indicators. UI on main head unit is a bit slower. Hope they will update it soon. Not very good for offroading as the over hang is too much reducing approach angle from both ends. Tired are a size smaller compared to the overall size of this SUV. Bus quality is very good and have passed crash test with 5*. Overall it's at the best price. Long term reliability is still a question mark and to cover that MG are providing 5 years unlimited mileage warranty, I believe that comes at an add-on price.","June 29, 2019",5,carwale.com
"I'm honestly advising not to buy this car right now. Connectivity feature is a crap.Poor build quality. Touchscreen is really lagging.Voice recognition not working best as expected. Comfort and space is awesome. Keep in mind it's not like a SUV, it works like an MPV. Harrier is he best alternative","July 15, 2019",3,carwale.com
"I have booked this car in June in Gurgaon after reading review at CarWale.com before they announced even prices and they told me that they will Delever car by July and took our advance , now they say that they will delever in September and there is no reasons , They are selling cars by taking some premium and this is my concern I am thinking to cancel it now","July 25, 2019",3,carwale.com
"Worst Car, The mileage in city is 6.1 on highway 7.2, Huge power loss when you want acceleration, AC not effective, worst experience while driving uphill, please don't buy, also recommended to cancel your booking, if you want a genuine test drive please mail me at mayank@%*%%***%*.**.in","July 27, 2019",2,carwale.com
"I was reading the reviews mentioned on the portal and there was one review by Mr. Nishant Rao who claimed to have bought the car 2 weeks before the official deliveries started and gave full detailed review explaining how everything about this car is negative. This was a classic example of negative marketing from the people associated with other brands. MG has done a commendable work to start their innings in India. They are providing a extraordinary package with the aggressive pricing. It remains to see how the car performs and time.shall make it clear. As of now, Hector is quite impressive. P.S. beware of fake reviews","July 15, 2019",5,carwale.com
"It’s over priced by company after waiting Of 3 months. No one Trust new company in India. They should make prices lower to Hyundai creta etc., since people don’t hv experience Smart India Smart people",,1,carwale.com
"I booked MG hector on 19th of July, 2019. I opted for Smart DCT, (Aurora Silver) at MG’s Showroom Ahmedabad which is owned by Concept Motors. I had driven MG hector before booking the car itself. But after booking it I still wanted a test drive. I was with the same Sales person from whom I booked the car. I was just cruising around on the service road, when there was a sudden thud in the engine. The car stopped immediately after that. I had to put it in 2nd Manual so that car started moving again. There was no response from the car in any other gears. I tried to manually adjust in 1-3-4-R none of them worked. In any of the gears other than 2nd I would see an orange coloured exclamation mark on the information cluster. The sales person told that there was some issue in the transmission. He called some guy from the tech team and found out the transmission had failed. The car had only 4200km on the test runs. I cancelled the booking very next day to which their manager told me to wait for a few days until we find what the issue was in regards to. But as I was adamant they proceeded with the refund. While booking they had promised to refund in 15 days though it took them 28 days to process it through and give me the cheque that too after alot of follow ups. The car is good on cosmetics, but I don’t think so that you can rely on the engine in the long run. MG still needs to refine the Engine according to the Indian roads. Giving variety of features won’t help if there is an issue with the Engine Quality.","September 09, 2019",1,carwale.com
"It's a beautiful suv design wise, no doubt about it. However the steering control is poor. The screen doesn't respond properly to the commands. Tyres look very small. Interior finish is ok type. Driver seats are adjustable but not comfortable. Worst part is the curtain of sunroof, which looks like a mosquito net, very thin. Front and back parts are made up of cheap plastic. A true Chinese product, you will be lured by beauty but actual performance is poor. Less service network, nil resale value.","June 28, 2019",3,carwale.com
It's look is amazing. It's engine is too powerful. It's suitable for me for long and short trips. It was very easy to buy it. It is too much smooth to drive. I would recommend everyone to buy MG Hector.,"July 05, 2019",5,carwale.com
Good interest features but engine performance not good as harrier and jeep compass. And design is not good as tata harrier and jeep compass Good interest features but engine performance not good as harrier and jeep compass. And design is not good as tata harrier and jeep compass. I suggest u to buy harrier,"August 14, 2019",3,carwale.com
Looking amazing a really a smart car a wonderful er car. I want to buy . No competition no comparatively in this budget. the ride is the very comfortable price is very low and features is very excellent....,"July 04, 2019",5,carwale.com
It was good to have the car. Great comfort and style. Family is enjoying the ride during long drives. Safety is a plus point for this new machine. Colours are eye catching and vibrant,"September 10, 2019",5,carwale.com
This car is amazing looking and fetures when i saw tha car first i found a very stylish looking car at this time unbelievable price waiting for buy the car i want to give this car to my girlfriend on her bday,"July 26, 2019",5,carwale.com
"Amazing Car looking true SUV that true value of money I hope hector archive all milestone this is new courage of SUV loverrrrrrrrr , looking like a hector new hero of suv cadre.","July 18, 2019",5,carwale.com
This is the best car under this price it come with full feature loaded suv under 20 lakh and gives a tough compitition to cars of this segment. The app control the style body design build quality and mny more other features make it a perfect car. The large and Huge panoramic sunroof is awesome the touch screen the 360 degrer parking camera i am in love witj this vehicle,"July 05, 2019",5,carwale.com
It was quite exciting and joyful experience driving this amazing car.it is fully paisawasool car.looks are quite good and modern.tecnology car. It is fully paisawasool car and one should go for it,"August 14, 2019",5,carwale.com
"It’s great price to buy compare to Hyundai venue, Honda BRV or Hyundai Creta I love the panoramic moonroof DCT Petrol power with turbo charge . Best view and ground clearance is perfect","August 24, 2019",5,carwale.com
"No doubtly this car is going to shake the whole market because it has more features ,but overall the IMHO I do not liked the design at all I still consider harrier or compass is better that how they looks This car is filled with a lot of features But sometimes these features will annoy you Like ""hello MG "" These are all gimmicky things to attract more and more audience.. Infact the seating of harrier is way better than the Hector Underthigh support is missing And the elements are copy from other manufacturers too! Like the rear is fully copied from Audi The infortainment system copied from Volvo Instrument cluster copied from Aston Martin To much coping from each other And at the end CHINESE ARE FAMOUS FOR COPING THINGS Overall the car is decent not so great .","June 30, 2019",3,carwale.com
Great good looking in any others cars low cost of maintenance very carefully futures in this vehicle very comfortable in car awesome tripe tk manli no any other person like this one is the best thing Air-condition is cool one someone that has been checked my first choice to get back in touch soon,"July 31, 2019",4,carwale.com
Yes I would consider to buy this car Very good in terms of driving experience Top end modle has good safety features with very low price range it's a budget friendly car New in market so can't say about it's service and maintenance Highly equipped with Good safety features budget friendly car Safety comes first,"September 10, 2019",5,carwale.com
Look wise so good and performance is also better than other SUV. This car fuel efficiency is better than other same segments. The car is totally awesome. Loads of features and competition to other brands. This car being new entrant has been set at the right price than other cars. Overall it's at the best price.,"July 04, 2019",5,carwale.com
Little long waiting period but worth to wait awsum sun roof interiors and Bluetooth systems which makes it completely flawless. Best in Mileage also adds up to stylish looks and comfort wise also,"July 23, 2019",5,carwale.com
"Its look is amazing, interior super and in Indian markets first internet car , overall this car worth to buy ,but I am waiting for 7 seater, ok thanks to MG for a super duper car , When to expect 7 seater in Indian market , please let me know , i am huge fan of mg , Does MG Hector consist of a Hybrid variant","August 14, 2019",5,carwale.com
I just want to say this is the best car and it's worth buying this car.....price is awesome....instead of investing of fortuner or creta buy this Its is a new car just planning for a long drive .....I hope I get a good service,"July 23, 2019",5,carwale.com
It's looking very nice. Spacious. Very fabulous. According to price this car is value for money. it's real XUV car. I want to suggest to all users please please when you plan to purchase car in 12 to 14 lakh so first see it.,"July 07, 2019",5,carwale.com
Excellent car for a family purpose. When I saw this car at a first time I was attract towards it. It's interior and exterior both are excellent. Or I was not soure about the engine.,"July 11, 2019",5,carwale.com
Its really awesome car made by morris garage... M waiting to purchase it...m waiting to launch in goa soon... So soon i buy it. I love its amazing with features nd internet connection...love it,"July 06, 2019",5,carwale.com
I'm from a small village in rajasthan. I like this car so much...some peoples see MG Hector in advertisements on TV. After knowing its features many peoples like this & want to replace his cars with MG hector...its voice controlled system is great....really I recommend everyone to buy MG Hector. I also want to buy this one after 1 month. Then I will update my review with all my experiences. Without touching this car I m confident mG Hector is best....thank you.,"August 10, 2019",5,carwale.com
A very nice and very intelligent car. I reccomend you to buy this car This is a pretty and awesome looking car. Best car to buy and we can give upto a 100 of commands and it will follow...,"July 21, 2019",5,carwale.com
It's an excellent car with a lot of features. And the price is too low compared to the features and facilities. I had driven the top end diesel model car. It is very comfort to drive long kilometres(long drive). I would like to buy it but the booking is now stopped. Its a superb car a small family and its boot space is the main highlight,"August 04, 2019",5,carwale.com
"Hi, i am Intereating MG Hector, last one month i watching mg hector in youtube all model. My experince this mg is the best car. I hope and i buying this car between 3 or 4 months. MG Hector model deserve inthe best model really i like this car and i Fainlly deceided buying this car and Comperison another cars","July 31, 2019",5,carwale.com
It's awesome...best one in this price. No doubt in it ....it have good specifications. India's first internet connected car . So many service center also there .I will suggest this one .,"July 09, 2019",4,carwale.com
"I love this SUV it looks very sharp and comfortable and is so fast and the company is giving good service Jai Shree Ram.The car is so features like 360.degree camera.it is better than scorpio ,harrier.","July 21, 2019",5,carwale.com
"It's seems like very good, worth of money I would like to prefer you all to go through this car once. Buying procedures takes little bit of time, but overall I think it is good. Best for the long journeys in this price ranges of SUV vehicles. Better than orther SUV vehicles. It's look is good enough and have one of the best look in this price range, it's colours textures are good, colours variant are also good. It's overall look is very good. It's headlamps and backlamps are look very gorgeous and stunning. It's curved edges looks very smoothy. It's performance is best in it's class. It have a very efficient engine installed. And its driving experience is smooth enough. Fuel economy is also good enough but it can better. In India not a many service centers for this car are available but it will be available soon as I think of. Servicing experience of mine are good enough. In case of price range this car's maintenance cost is not so costly as others in comparison. It has very attractive features like very efficient voice command control which can control many of its features. It has a large display which feel premium enough. And all of the others features are available. This car is one of the option in case of comfort.","July 04, 2019",5,carwale.com
"My Friend purchasing Mg hector Petrol Really Awsemone ,Smooth. Moving Interiro Body ultimate ,I suggest please Blindly purchase this Car otherswise They are Unlucky,My Freind But this on 8july 2019 Really after that they run car in hill station and in City roads totally 2400 mileage Complete,thats it","August 07, 2019",5,carwale.com
I intrested purchase mg hactor Very smooth driving and comfort All intirear fiturs smart looking This car all side looking the sporty and stylish millese and servicing mantinese I like good performance and very powerful engine and very smart style panorama roof sitting is very comfortable all side I like this car,"August 20, 2019",5,carwale.com
"This car is not good in long drives.and also there is no Android auto or Apple car play.there is only a huge tablet with some waste application like Tom Tom map.only the pros is connected features. Just go for Tata harrier,Kia seltos or Jeep compass.and also the panromic sunroof of mg Hector was good.dont go for this Chinese product.","September 06, 2019",2,carwale.com
What a nice car its car features is osm and the more stylish car in india i will drive first time i am big fan of mg hector and its interior nice i purchase in disel variant manual,"July 06, 2019",5,carwale.com
"Except rear seat width every thing looks good, good quality materials ,driving comfort,feature loaded are excellent.only the thing is after sale service and maintenance ??or ??","July 04, 2019",4,carwale.com
Super interior and very good quality I like it very much it is simply superb I'm thinking it is best car for normal people it has good interior and best desine and best fuel economy,"June 30, 2019",5,carwale.com
The mg cars are very beautiful. Design and are very advance. These. Cars are my favorite. experience is good service and maintenance are well. Buying. This car is my ambition to buy this cars. I love mg and all who buy mg,"July 04, 2019",5,carwale.com
Best car in 2019  best voice commands Feature loaded species & comfort boots space very well Tyres is so little small but overall very good product best buying  M G are demand & selling not be balanced ??,"July 26, 2019",3,carwale.com
This car is damm cool.once you go out in this bad boy people stare at you like whatever. It's not a car it's means a lot to me. Blindly go for it.as I had personally checked the car. Their is no doubt that it's the best car in this price segment. and I even don't see a car comparable to it in higher segment also. I purchased this car from sec-8 noida showroom the staff is really good and helpful. The person from whome we purchased car is always ready to help.,"July 29, 2019",5,carwale.com
"It's a wonderful car. It's a very comfortable and spacefull interior design, as well as, as a driver it's giving a luxury feeling. MG Hector is one of the best SUV I aver drive, it's a huge fantastic.","August 25, 2019",5,carwale.com
This is the first car in india. I like the car. comfert is very good. I'm very interested in the car. I'm drive the and I'm so impress this car. It's size very Good for Big ride. I'm Loving this car.,"September 14, 2019",5,carwale.com
it's bull....don't read just try test drive...for this budget this best and more enough....pls take it seriously....it's better not belive others try ur part ...u will be surely convenced......even majer things car is very much stable at the time of driving faster ..which only PREMIUM car proves...not like budget car,"August 07, 2019",5,carwale.com
Only about looking n performance on road. I want to see maximum cars on Indian road Common people can also riding experience . People are more in lines n always fulfill the customer requirements time to time I thing that common people can also purchase of this dream car. Always commitment to great service from MG motor,"August 15, 2019",5,carwale.com
I had nice experience with this vehicle.. it is just like inside a wonder world with lot of energy to do anything... Materials used in interior is high quality and it gives more comfort and stylish look. E assist is very nice to communicated.. Engine noise is not come to inside and fully noise proofed.,,5,carwale.com
Drive Hector with Fully trust because smart people ki smarat car meand MG HECtOr. Unbelivable feature and Unbelivable car wchich introduced in indian market.I hope no one can beat these car at these budget.Hope i will buy my first car whenevr will go for Hector. Its dream car of my life and i always try to fulfill my dream.,"August 15, 2019",5,carwale.com
"MG Hector is a very impressive SUV with a sleek look and it's imposing texture. It is comfy and smooth. Though this amazing car weighs 2 tonnes, it has a good pick-up. The engine is powerful and the cabin in quiet. There is a lot of leg room for second row. The boot space is remarkable. The car come with one of the best infotainment systems.The voice commands take a little time to activate, but still are impressive.The car has wide wheels which increase the road grip. The fuel efficiency/ milage is not that satisfactory The top varient is quite expensive but it is worth it.The dealer told me that for Rs.30000, they will take complete maintenance care for 3 years! The infotainment system comes with a prepaid 4 year subscription. So, u r connected with internet anywhere u go. The panoramic sunroof/moonroof is breath taking and makes us feel good. In the top varient, u get a 360° view, top view, side view, et cetera. My driving experience was excellent but we don't know about the OFF ROAD Ability of this car. The only matter of concern is that it is a Chinese car n many Indians don't like tat","September 06, 2019",5,carwale.com
"The car is totally awesome.Loads of features and good competition to harrier and xuv500.The car is equal to jeep compass,so its worth buying it.Only problem is these cars are BS4 engines and the delivery of car is nearly on year 2019 ending.Else the car looks,performance and features are really good for that price.","June 29, 2019",5,carwale.com
Best car in this segment amazing car I think this car is better than harrier this car have many features than Tata harrier front look is but mg doing a good job . This car have amazing look with amazing features.,"August 08, 2019",5,carwale.com
"This car is amazing as because its from MG motors.. i have not bhought the product yet but its in my wish list to buy MG car hector . As this car provide us the futuristic technology and the look of we indians expect like US cars, the MG motor has completed our expectations buy bringing such a beauty to indian roads... Well according to my research on youtube i have got to understand that the quality, performance, practicality,riding comfort is best according to the price range . Servicing and maintenance might be higher side as afcourse its MG but its worth it. But there a few things which can be rectified by MG are there lag in music system, low light in spedo meter,back seat underneath support well yh thats it ... Eagerly w8ing for sedan car by MG ..","August 08, 2019",5,carwale.com
"Great features. Strong built than Harrier,xuv500 and Compass. Spacious than all its competitors. My hector is coming in September . Hector is going to defeat all its competitors In sales in upcoming mnths may be from August only. This is only a car with voice command in its range. Land rover costing above 50 lacs will give you this feature. Finally it's a fantastic car.","July 02, 2019",5,carwale.com
I test ride the vehicle and it’s awesome.... interior design is bit okay but the technology is smart in its kind.... Audio playback seating aitbags and many more especially the voice assistant is nice,"August 27, 2019",4,carwale.com
"Pros: Loaded with fancy features , not sure how long they will work. Cons,: Worst customer service, Chinese made and yet to prove itself which is highly doubtful considering the Chinese made sticker.","July 24, 2019",1,carwale.com
"The delivery is very nice and riding experience was awesome and good performance of the engine. pros: eye catchy Nice driving clearence, good seat height adjustment.","August 23, 2019",4,carwale.com
"I drive the MG hector that has many features in it, and it has a lot of performance and it is very easy to use and it is comfortable in the drive. And I think it will become the most famous brand in the upcoming Days.","July 17, 2019",5,carwale.com
I booked a car on july 4th at Naroda dealership. At the time of booking the sales person confidently gave time to deliver car in 2 to 3 months which means mg committed to give car in mid of October. After booking i got call from mg motors that i will get my car in December. Which is double the waiting period. Inshort. Mg motors made fake promise about delivery date and made wrong commitment. Now after 2 months mg motors is saying that you need to wait for 4 months more. So disappointed. A new car maker which i trust have broken it. 1st car. Going to cancle the booking. Will never ever buy MG Cars,"September 11, 2019",1,carwale.com
A very amazing suv to drive on ... So comfortable and luxurious inside and stylish outside... Such a nice car at a very affordable price Powerful engine with best performance.. Overall fully satisfied...,"July 06, 2019",5,carwale.com
"It's value for money, it's performance was well, it's with u all the time, it's a human being, it's having a such gud features. Comfortable ride compare to others having well safety, like AIR bags.","September 11, 2019",5,carwale.com
This car is value for money and they could have given an hydraulic for the bannet it will be very useful because the bannet heavy other all features all good and unique the internet connected car voice assistance and many more other features in the car like electronic tail gate,"July 17, 2019",5,carwale.com
One of the most awaited car i have waited with so much of patience finally a prayer heard by the automobile sector with an eco friendly car with an hybrid feature just love the muscular body with smart features like an smartphone user friendly suv one much have car for all the new generation guys it suits all the generations requirements with style and passion thanks MG to getting in to India market,"September 15, 2019",5,carwale.com
Nice car in low budject. Nice 360• degrees camera. Large space inside the car. These gares are very comfortable . Riding experence is very very happy for me. Looks are good performance. Low maintenance charge.,"July 08, 2019",5,carwale.com
Superb car my favourite car look is a very superb exiting car hector is powerful car so comfortable to long tour and family both are like a car family used car by a awesome car and purchase car and my dream and should be a not money please test drive is better and top car and pickup is so good like,"August 27, 2019",4,carwale.com
This is amazing car ever in my life I have Volvo&s-cross also but this is amazing car.i love it superb Man it's wonderful.,"September 07, 2019",5,carwale.com
"This car is way better than Tata harrier. The only downside is its a new company and service network. But they told me that they will open showrooms in tier3 cities soon. Coming to the car , the diesel is the same as that of harrier but produces 30 bhp more and claims more FE than harrier that is a win for me. Also even the base model is equipped with hill descent , ebd, and everything that is equipped in the top variant .. it also comes with the factory fitted music system which is not in tata harrier. For the money you pay this has the most value. Also riding comfort is better. Harrier looks funky whereas this looks professional. If they open showroom near my town, i would definitely buy one. Waiting.","June 29, 2019",5,carwale.com
Awesome service from service centre no maintenance good mileage awesome car interior design ideas so good also equal to toyota fortuner nd ford endeavour in look its headlight are good,"July 08, 2019",5,carwale.com
"Everything is very good, showroom service was excellent, Very very sporty look. Display screen and sunroof is something like newly added technology like luxury car. Only missing thing is it could be 7 seater.","July 17, 2019",5,carwale.com
Test Drove the 1.5 Sharp Hybrid Petrol Manual variant. Went to Navi Mumbai showroom last Sunday morning and very quickly was slotted for the TD. From Nerul took the Sion Panvel Highway and drove up to almost Thurbe and back. Accelaration was quite rapid in 3rd gear. went over no -road surface service road near Shirvane. didnt feel the roughs at all. Overall good car. I have booked the Smart Hybrid.,"July 29, 2019",4,carwale.com
"OMG...I got shock then i took one look of this incedible car.. this car funtabulous... every think that i need.. it have..,,not that much costy...look and performes vise better than others , i recommed to myself..to buy this one","July 04, 2019",5,carwale.com
Riding experience was excellent and the price was very worthy. Fuel mileage was good. External body was very good.Engine was smooth during riding and seating comfort was very nice.,"July 12, 2019",5,carwale.com
Buying experience was very good the salesman conveyed the features in soulful manner. Riding experience of the car was outstanding. the first look of the car was it's appearance was too good Like service cost was minimal on only up to 10000 I think this car has no cons only pros that is it's features.,,5,carwale.com
"This car is way better than Tata harrier. The only downside is its a new company and service network. But they told me that they will open showrooms in tier3 cities soon. Coming to the car , the diesel is the same as that of harrier but produces 30 bhp more and claims more FE than harrier that is a win for me. Also even the base model is equipped with hill descent , hill hold, ESP,cooled glove box,TC,rear defogger and wiper which is a great security feature on hill drives,keyless entry etc .. it also comes with the factory fitted music system which is not in tata harrier. For the money you pay this has the most value. Also riding comfort is better. Harrier looks funky whereas this looks professional. If they open showroom near my town, i would definitely buy one. Waiting.","June 29, 2019",5,carwale.com
Cool car..i loved this car.. Love it. I recommend it to buy this car. Also it's our young ages car.this car display is massif. Also it has a lot of features Jiska seat comfort is best of the segment. This guard has wonderful colours variance this ka room space is Messi top of the signet also discard boot space top notch,"July 27, 2019",5,carwale.com
"Far ahead of its rivals(harrier and compass) in features and space..high comfort level.. good for comfort and safe driving lovers....not good for harsh riders bcz of its height, car ill topple in sharp cuts ...engine wise same as its rivals 2.0 fiat engine so no compromise ..over all good and fully loaded car with good price tag","August 16, 2019",5,carwale.com
This is one of the most futuristic car in this segment.and u feel in the car very luxurious feel gives u.i ts value for money.but one thing it's look like very big SUV but it 5.seater SUV car this is Disappointing me but otherwise nothing to say about it........,"July 19, 2019",5,carwale.com
Looks is very nice and fabulous front looks overall and interior is also excellent very spacious for passengers Nd LCD was amazing steering design very good but one thing is I don’t like is that desiel engine is car starting sound is not good that’s it nice car,"August 02, 2019",5,carwale.com
Amazing car at this price. This car has lowest price. This is very soft to drive and when also on long with rest in car And i like internet car. Car say hello our when we get in car,"July 04, 2019",5,carwale.com
1st of all showroom staffs are very polite and give each and every i formation about this vehicle * i cant say anything about riding experience because its a just feeling when u ride u felt its premium ness * by look it has a unique design and attracts everyone by exterior as well as interior,"July 17, 2019",5,carwale.com
Good car gives mileage of 13 in petrol variant. Exterior is good but interior looks simple but not bad good quality work has been done fully led looks so dash. But dont buy the lower variant cause best value for money starts from smart. Thanks??,"July 14, 2019",5,carwale.com
Very best car i every drive this car is to good looking It have very very powerful engine the have very comfortable seat I wish i can buy this car And gift to my dad and mom Best part of this car is sun roof and voice control And big boot space and big weels and dinamic body and beautiful light One day i will buy this car,"August 30, 2019",5,carwale.com
"Carwale app is the best. I think, This MG HECTOR is the best choice because, the interior is best in segment, this car is loaded of features like 10 inches horizontal touch screen, app feature, voice commands, inbuilt internet and panromic sun roof, that makes this SUV Incredible. This SUV is best..","August 16, 2019",4,carwale.com
It's an awesome car.... comforting price for medium family.. it's an very difficult to other cars.. performance good but wait and see for another review after 6 months... Thanks for MG,"July 10, 2019",5,carwale.com
"I bought MG HECTOR on 10 July 2019 really it performs very well... I drove it more than 3000 kilometres in city, Highway and Hill Station also it felt very Nice it's a fully packed family SUV.... please don't think more just go for it Blindly..don't compare with any other vehicle or Brand it's it's too far from that all... in all the way like Price, features, build quality,performance and warranty.....more n more just go for MGGG Blindly that's it.","August 05, 2019",5,carwale.com
"Well looks n sitting comfort are up to mark , but lack of driving pleasure , the moment to start ur car it has different annoying sound (ignitation starts ) one gear down car so it's not smooth at all for city drive , how come MG forget to give turning lights ( heavily required) , suspension too not so good makes sound on impact with bad roads , internet is too slow n does not wrk while driving so less of use , looks n outer build are strong but if u love smooth driving avoid it . Only few voice commands fulfil by Mg so again u feel trapped , even ur diesel variant as no automatic so u can't even switch on the Ac before u start your drive , ahh best thing Panaromic sunroof n huge space overall","August 31, 2019",3,carwale.com
