Review-Text,Review-Date,Star-Rating,Web-Site
9 Km per Liter Battery went off in 15 months Now key Hob Battery went off in 18 months First service and noticed a full scratch on my allow unfortunately after 1 day Dealer was charging issuance of ?96000 as against ?55000 when confronted with insurance outside Charged ?28000 for Nano paint which seems to be useless Promised to deliver the car and while I was almost there I got a call that I will get the car after 3 days The address on RC was for somewhere I have never lived Now they are asking for extended warranty for ?31000 which is almost unreasonable and they know the customer does not have a choice ABSOLUTE NO AND MY BAD INVESTMENT,"August 24, 2019",1,carwale.com
"Don’t buy it from Jayaraj Motors (Tiruchirappalli)!! I purchased a ‘Jeep Compass Limited’ vehicle on March 2018 in the name of my company ‘*Rubine Glass Pvt Ltd*’ at Jayaraj Motors, Tiruchirappalli, Tamilnadu. While purchasing I was told by the sales rep Mr. Jambukeshwar and Sales Manager (I think so) Muthu that there is no discount available for Jeep Compass even if 2 or 3 nos of vehicles bought together. This had been their repeated answer when I insisted for discount.","September 07, 2018",3,carwale.com
"Jeep compass The most awarded SUV I am so proud that I own this premium SUV it's best to drive it's ready to give you the sudden pick up you want, it's also provides panaromic sunroof.","June 02, 2019",5,carwale.com
"While buying Landmark sales team did a poor job of committing the date of delivery and then changing at the time when we almost reached the showroom Secondly the insurance quoted amount was more than ?90,000 and when compared to other insurance company, it came down to ? 58000 Battery just after 14 months has drained out and they simply responded car is under 3 years warranty, not battery, not sure what more will not be under warranty, only time will tell Service is average as usual committed to delivery at 4 and finally waited at the service center for 2 more hours Costly service , ? 9600 for changing all what is required at the first service, mind it, this is without Kanpur charges, adding that after a period may shoot up I had Toyota Corolla and never paid more than ?6000 for each service The car is underpowered and hence drags at time I don’t think one can afford this car for more than 3 years as it may turn out to be a big cost of maintenance","June 08, 2019",1,carwale.com
the service and maintenance of this vehicle is very poor .the technical staff is not competent to diagnose or to rectify the issues in side the vehicle which leads a very uncomfortable experience for a customer.They are only concern with selling of vehicle.so Jeep Compass needs to work on this segment as they have very less service centre and incompetent staff which is giving a very bad impression of a company.as vehicle performance is nice but as service centres are very less .,"May 17, 2019",2,carwale.com
"Look wise very good ,average is also good and it is also 4*4 length wise also good. This car is also in both features auto and manual and ground clearance is also good. All windows are powe base","February 22, 2019",5,carwale.com
"Buying experience: Excellent dealership, purchased it 10 months back.","April 04, 2019",5,carwale.com
I don't no how to describe its is very comfortable for long drive and the exterior was show awesome and the interior is perfect for the family the fuel is economically and the servicing and maintenance is also convince the price also economically compared to other branded SUV,"January 24, 2019",4,carwale.com
It has a modern look which is very attractive . But jeep maintenance service needs an improvement.It has a great booting space . It is very easy to handle but at high speed turning is little off .,"March 17, 2019",4,carwale.com
"This SUV like others is good for indian roads. But it is more luxurious to drive it, a feeling of royalty. Look is good but no panoramic roof. Red color looks most sexy. Service stations are quite far. Price is ok as it is luxurious brand. Otherwise everyone could have purchased it and low down it's market.","November 10, 2018",4,carwale.com
"- Mohair Auto NASHIK----------------Please dont buy vechiles form here, totally casual and non responsible service. - No commitment, no skilled staff - Even maruti 800 can give you good response for service. Pl dont buy","March 26, 2019",1,carwale.com
Riding experience: Super fine to be in the driver seat,"May 02, 2019",5,carwale.com
Best luxury & safe car it's fun to drive car go anywhere it's has all luxury features with powerful performance with trainn system it best performance in all like highway off-road city but for rear passenger want some more space with seat adjuster otherwise it's killer it's beat ranger over evoke I love it,"November 21, 2018",5,carwale.com
"Jeep compass car a nice car I love it this car The Black roof gave the machine a range roversque look and I was the first in my firm to own one. To put it briefly, it made me famous - very famous. Ride Quality is good, when it is used as a four seater. As per my family, it does not match the comfort of our swift. Handling is amazing.","January 06, 2019",5,carwale.com
"I brought diesel variant car in jan 2019.My experience is just amazing. The features like Safety, comfort,fabric quality, seating arrangement and attractive look are realy good..I love it's full sunroof","May 02, 2019",5,carwale.com
"You will easily miss this car among the hordes of compact suv nowadays seen on the roads, but Jeep Compass is definitely worth it's price. The looks are conventional yet appealing, LED headlights and rear lights gives it a distinct look. 17 inch tyres looks good on the body.The car looks beefy yet elegant at the same time. Enter the cabin and you cocoon yourself from the outside world. The door closes with a thunk which gives you an idea of the built quality. Start the car and you realize that engine is quiet enough. The audio quality of the infotainment system is good. The car drives really well at high speeds and is sturdy. While cornering the car it is steady , some body roll is there but ride quality is good. Small bumps do not filter their way into the cabin. Overall Compass offers a well balanced package.","November 28, 2018",4,carwale.com
Riding experience: Really good powerful car with great roo for family,"March 03, 2019",5,carwale.com
Hi I have been purchased Jeep Compass last year July still not complete 1year it has so many problems in engine side fuel pump failed no parts available at service agency in Hyderabad quality of service in Hyderabad jeep agency very poor my car it’s in agency since 1week no result please friends don’t go with Jeep Compass India service and performance very bad experience,"July 12, 2019",1,carwale.com
This jeep campus is looking very awesome . And Every person sea this car. And after Says wow superb. An I love this exterior look. Interior look. An feature is going well good.. jeep campus is my favourite...,"May 17, 2019",3,carwale.com
"The amazing car ,jeep compass it is expensive but I feel comfortable in the car and the driving experience is amazing . The overall review is 5 star rating. In comfort Driving experience Engine power","September 10, 2019",5,carwale.com
Very good vehicle with solid built feels like driving a tank fantastic gear shift and driving Dynamics. Totally high way suv. Interior is good and handy . Sound quality is amazing .perfect suv,"August 01, 2019",5,carwale.com
"I bought my Jeep Compass year ago, ride quality seems good I won’t it’s Suberb cause rear seat comfort is not so good, I love the way the jeep looks the front Day time running LED is a killer! 2.0 Multijet engine is making the jeep more unique a say cause 180bhp and 350 NM torque and decent mileage trust me or not I got 18kms on highway! Touch screen navigation is responsive but well not as responsive as ford’s touch screen! Maintaince is on higher side I mean it’s bit costly obviously it’s jeep! Pros: great engine, looks are stunning even better fuel efficiency than rivals like fortuner and endover. Cons: rear ride comfort is not so good and maintaince and cruise control is big miss as well","January 06, 2019",4,carwale.com
"It's amazing look ,I want buy this car in after my job. That's my favorite car and brands. jeep brand is power drift and cool feature mode.its comfortable car and good space . mileage is very good, fuel economy card, high range car is a suitable price for people, work and maintenance cost not high..","January 30, 2019",5,carwale.com
I love this car it's features are amazing.. Comfortable as well as interior and exterior looks is Awsome.want to buy in future definitely.. I tried the car once and I love it so much everything is just perfect..,"April 07, 2019",5,carwale.com
"Excellent Sunroof in this car.smooth driving.no sound present in cabin.good looking alloy wheels .good duel tone color. Nice audio sound,nice instrument cluster. Good looking DRL. Nice traction control. Good quality leather used.nice seating adjustment in this car. Amazing mileage performance. Totally good .","December 18, 2018",5,carwale.com
This car looks great and I drove it. it's ran like cheeta.my wish is to purchase this car in future.i love this Car very much and want be a owner of this fantastic car as soon as possible.a great experience in my life.,"January 26, 2019",4,carwale.com
1. It a value for money product for sure due to its class and the performance it generate. 2. Great comfort in terms of interior provided and it also provides very light handling in respect to suv’s. 3. Have Aesthetics looks and off road driving is at par. 4. The amount that goes in service is totally worth full.,"December 07, 2018",5,carwale.com
It's very good looking car So must important car suv in the life and the many features in the car . So i choose and bought the JEEP. I bought the top model in jeep in JEEP COMPASS LIMITED PLUS,"March 22, 2019",5,carwale.com
"I bought jeep last year in may and it has been a blissful one year of ownership. To say the least, the JEEP has forced to make time frim my work and start living that collegue life of long drives with those never ending talks and discussions about life once again. It is a monster of an engine and the sleek gear box with that great aluminium finish round gear box is so silky smooth. Of course, there are some niggles but that cannot take away the sheer joy it gives me everytime I am behind the wheels. It is an epitome of go anywhere kind of freedom.","April 25, 2019",5,carwale.com
"Very Awesome Looking Car, Good Space Comfort And Good Body I Love It. Jeep Company Power Full Engine Very Awesome.","January 24, 2019",5,carwale.com
Very bad experience with jeep compass my car clutch changed at 15000 km . They only give one year warranty of battery if buy this car you hv to buy battery after one year for sure . Bt the same company Exide gives its 4 yr warranty they frauding people . Loss of money buying this car,"July 04, 2019",1,carwale.com
"Details about looks, performance It's look very super and excellent performance. Very huge space and. good interior systems","June 26, 2019",4,carwale.com
"I bought the jeep compass limited 4×4 in july under there upgrade plan for 4×4. So i purchased the car at a price of 23 lac instead of 25 lac on road. One thing i would i to say is that this is the beast when it comes to pure driving experience. No suv under 35 lac can beat it in terms of performance. I have one problem regarding some features but many of them has already been included in the limited plus trim at a cost of 2 lac more, so no issue of that also. My only suggestion to Jeep india is to price the longitude option model at 21 lac on road because of the newely arrived harrier. And please launch a diesel automatic in limited trim. If they do this than definitely there sales will reach around 1800 units a month. My suggestion to customer is if you are planning for a SUV and your budget is over 21-22 lac than definitely go for compass. But if your budget is tight around 18-19 lac than go for harrier XZ over creta and other. Remember one thing only the XZ model of harrier is good to purchase because the rest of models lacks safety features which are on my priority number 1.","January 25, 2019",5,carwale.com
I took loan from bank and bought this car. It's like a beast for both off and on road . It's a fashionable SUV and beautiful stearing wheel with comfortable handling. Value of money,"April 11, 2019",5,carwale.com
It is a good car like Scorpio. It has very power break and steering. It have 4×4 with good quality.airbags are available and cold ac with power windows and ips display you can drive it is a fantastic car,"February 26, 2019",5,carwale.com
This car is too awesome and driving experience is so much better then the other cars its my dream car and I also thanks to carwale.com for giving this kind of useful informations about our True car and its make easier to choose perfect one,"March 31, 2019",5,carwale.com
This car is very good looking and very comfortable car fiture is so easy and drive very simple I have to drive this car so comfortable and I love drive for this car jeep compass car loking so beautiful and nice dision this car engine is very power full and Milege is very good in according to other petrol car acoding,"November 11, 2018",4,carwale.com
Buying experience: It was so easy and convenient .,"March 12, 2019",5,carwale.com
pros: new for indian market still had a great start for jeep brand and public requirements are fulfilled by jeep facelift or new varieties. No cons for the car all the needs at affordable prices and people get and perfect pack of features at very good price point. Loved the car design and it's something unique for indian market. ????,"November 11, 2018",5,carwale.com
"It is a very good car, In a good price this is one of the only cars I liked out of all of them. Jeep has never disappointed me I have been having a jeep car since 5 years and I like this the most because of its features and speed. This car is the best for its price this is the prime reason I suggest this car to everyone who is wanting to buy a car.","November 11, 2018",4,carwale.com
"Awesome interior , comfortness is in the peak , better space , powerful engine , suspension is better enough .. You cannot take your eyes away when u see it and you caanot take your hands aways when you drive it..","January 19, 2019",5,carwale.com
"Its a car which is very luxurious. Its name is jeep compass which is very luxurious and comfortable . its colour is very nice. It has all the facilities. I liked it very much. I thanks carwale very much because before I bought first I see this car on carwale. It can be comparable to bmw, audi, mercedes etc. I tell everyone to buy this car. It is a good car in this budget. Its features are best in world. Its sunroof if awesome. Thank u.","December 11, 2018",5,carwale.com
I live in Gujrat. I had an Honda City Petrol. I took this while twice to Manali. The fuel expenses was a lithke bit higher but the feel was good. Then I tot for a SUV which would be powerful and can meet my driving craze. I zeroed in on JEEP. I took it to Goa and just few days back I took it to Ooty and then Kerala with my family. The drive was fantastic. The performance of this vehicle is too good. U will nvr feel it is leaving the road. I recommend only Jeep. My total running is 7350 Kms. No complaint yet.,"June 15, 2019",5,carwale.com
Amazing vehicle with loads of comfort and excitement. I still remember the new vehicle smell when took 1st drive and my hands was like stick to stearing . Its a cockpit with a great view and the sunroof made tht experience even more greater. Loved this....even a old person will feel like young when they will try this beast with beauty.,"May 18, 2019",5,carwale.com
"Awesome handling, good tyres, perfect driving for hill station .. nice exterior and interior , specially the logo of jeep compass . It's so handsome looking , but it should have sunroof ,its value for money if sunroof would been added . And it should have chrome set alloys , u should change alloy .","July 26, 2019",5,carwale.com
The car is so much compotable and sheet must beeter then other car and look are awosome and features are expensive for me and I love this car and I want tell for jeep u want to make a more suv like the compass suv ok thank for making this car and I want some more car like this.and we have seen and driven many car but not comfortable like jee compass,"December 26, 2018",5,carwale.com
It's good in prize & drive. Feel good to drive. easy handling. Good brand. Powerful body. Good mileage. Attractive design. Big space.. beautiful interior big seats. a reasonable price anyone can by & feels good,"February 03, 2019",5,carwale.com
I have purchase it on february 2018. With in 1 year my car battery has been changed due to battery fault.I have send the battery to exide Company depo. They changed it and send me the new battery today. But again right know the battery is ok but the car is not starting.. This is not the fast time i faced a problem.. Before also break pad gone at 25000 km. and my front two tyre also damaged at 23000 km.. I have a toyota innova crysta also but till know the innova never give me such a trouble what jeep is giving me.. Such a bad car jeep compass..Unsatisfied for buying this car..I have done a big mistake for buying this car..,"January 11, 2019",1,carwale.com
A rich and royal car with a resonable price i like the as much i love dad and mom and the interior is simply extraordinary and the car colors are very mich catchy and i am waiting for buying this car,,5,carwale.com
"Buying experience of Jeep Compass is completely good package because of its safety features, brand value, commanding design, fun to drive and off-road chops. Riding experience is outstanding specially in diesel variant because it is more powerful than it's rivals. Ride Quality is outstanding and amazing on the highways is a great cruiser around the corners and stability of this car is perfect. The looks of compass remains one of the most attractive design in its segment with its seven-slat grille and squared off wheel arches proudly proclaiming it's iconic jeep heritage. Performance is excellent around the corners and body roll is excellent on the highways. Compass 4×4 limited plus variant goes over the off-off-road with ease because of its independent suspension. Servicing cost and maintenance cost is very reasonable and jeep have introduced Mopar, the global giants in all jeep vehicles. Mopar is one-stop shop for your jeep vehicle's, maintenance, service, performance upgradesupgrades and cosmetic increases, so your jeep vehicle stays in perfect condition for your adventures always. Pros and Cons: PROS: 1.) It gets panaromic sunroof in top of the variant. 2.) Acceleration is outstanding than its rivals. 3.) Fit and finish is excellent and interior quality is top notch and feel premium than its rivals. 4.) Class leading off road capabilities with its independent suspension. 5.) Smooth Manual Gearbox and easy to use. 6.) Owing to Off-Road charactercharacter, compass gets four driving in top of the variants in its selec- Terrain all wheel drive system such as Auto, Snow, Sand and Mud to adjust engine mapping and traction control to move easily over the selected terrain. 7.) Diesel motor is punchier, nicer to drive and good highway cruiser. CONS: 1.) Too Pricey 2.) Poor Rear Seat Comfort and feels claustrophobic and not good for three adults. 3.) Clutch of Diesel variant is much heavier and not good for city use. 4.) 7 speed DCT Automatic is not very smooth, quickest, lacks punch and feels jerkiness. 5.) Missing some features. 6.) Petrol engine is very noisy than its rivals. 7.) The brakes are good, but while slowing down from high speeds it seems to lack the necessary bite for sharp and effective braking.","July 26, 2019",5,carwale.com
the rare tyres are getting drain. i have changed the tyres in 15000 km and now again at 20000 km. i complement to service center and mailed to jeep India they are not responding....,"March 07, 2019",1,carwale.com
Buying Jeep Compass was the best decision that I have taken in my entire life. I love driving it’s very easy and comfortable to drive those who love suv this is the one and the looks are on other level and when we comes to performance it’s the best its easy to drive on every situation weather its is off-road or god its very comfortable to drive servicing rate is little huge because it’s America vehicle. Maintenance a big job we can do that totally we won’t regret buying this car,"June 20, 2019",4,carwale.com
"Yes , this car is very nice , inside interior decorations are very beautiful and comfortable . Driving experience are also fine , but I want to add Auto gear system if i wl be owner of Jeep company . Otherwise very satisfied I am. Need less to say the price in mid renge also That's why every business man can get this bike easily. And I want to request Jeep company to reduce emi system on this bike and extra 3 lacks pay on EMI system","November 19, 2018",5,carwale.com
I like your application because i see full 360 degree view of cars and then final my car it possible only your app thanks car wale Nice app and website ever thank you. And last thanks to all creater wgo make this.,"May 14, 2019",5,carwale.com
Just a very good looking car. I would recommend people to purchase this because it have good feature and very good comfortable space and people will enjoyafter driving it it have good transmission powerand it will make drive very effective as I used so many cars but this different from other and I love it.,"December 09, 2018",3,carwale.com
After sales service very poor. Not providing warrenty as you put car for repair under warrenty it will not come back for months and they will say part is not available. But when you say you are ready to pay for that part it will be available from next day. Service staff very bad. Frequent break down. No proper service support. Do not buy as you will feel cheated at the time of repair.,"June 01, 2019",3,carwale.com
