Review-Text,Review-Date,Star-Rating,Web-Site,m_Type,m_Sentiment_Score,m_Review-Text_clean
"I had taken test drive Three Times to convince myself to take delivery of the GTX Plus AT , which I booked pre-launch. Unfortunately, more I drived, more dissatisfied from all angles. Cost is too High - Top Model 20.50 lakhs. Fuel average not more than 9 or 10 KMPH when I reset to Zero and tested myself. Seating in both rows is very uncomfortable. Navigation is very confusing. HUD is distracting during driving. Sun-Roof is First Manual opening & then Electric . Diffrent drive mode could not be tested during test drive, so not sure about their performance. Test vehicle Tyre pressure shows 47: 45:41: 46. Sales man told that they will get adjusted in Workshop. As its a wrong measurements. Its a complete waste of money and will be proven a complete failure vehicle. Adding 1.5 lakhs, I will go for CIVIC which is a luxurious and full comfort car in but that too when will be available in BS-VI engine only.","October 14, 2019",1,carwale.com,Kia,-0.8622,taken test drive three times convince take delivery gtx plus booked pre launch unfortunately drived dissatisfied angles cost high top model 20 50 lakhs fuel average 9 10 kmph reset zero tested seating rows uncomfortable navigation confusing hud distracting driving sun roof first manual opening electric diffrent drive mode could tested test drive sure performance test vehicle tyre pressure shows 47 45 41 46 sales man told get adjusted workshop wrong measurements complete waste money proven complete failure vehicle adding 1 5 lakhs go civic luxurious full comfort available bs vi engine
"I have top-end petrol automatic version. This car checked all the boxes for a daily city commute. (I have bigger German SUV to take it for any occasion). I love the air filter, wire-less mobile charger and the cameras most.","December 15, 2019",5,carwale.com,Kia,0.6369,top end petrol automatic version checked boxes daily city commute bigger german suv take occasion love air filter wire less mobile charger cameras
Build quality is top class compared to other cars in the segment and safety features are top-notch. Paint quite is nice this thing will no reviewer shows.. The engine is so refined in diesel. Slightly stiff suspension. Rear ac vents are not effective.. Mismanagement on dealerships. No auto-dimming orvm. Fixed headrest for rear seats.,"December 13, 2019",4,carwale.com,Kia,0.507,build quality top class compared cars segment safety features top notch paint quite nice thing reviewer shows engine refined diesel slightly stiff suspension rear ac vents effective mismanagement dealerships auto dimming orvm fixed headrest rear seats
"The car is undoubtedly the best in SUV segment. I have driven Creta & MG Hector both when I wanted to buy a SUV. Seltos is far ahead of Creta and marginally ahead of MG Hector. People had no option and they had to go for Creta (Majburi). Creta was a majburi for people looking for SUV. People who own Creta very well know that KIa Seltos is far ahead of them. I think Kia Seltos gives the best drive experience, Comfort, safety, features and very refined petrol engine. I am seeing many people commenting about airbags & safety. No car in the range of 12-14 lakhs offer 6 airbags.","October 18, 2019",5,carwale.com,Kia,0.7264,undoubtedly best suv segment driven creta wanted buy suv far ahead creta marginally ahead people option go creta majburi creta majburi people looking suv people creta well know far ahead think gives best drive experience comfort safety features refined petrol engine seeing many people commenting airbags safety range 12 14 lakhs offer 6 airbags
"4.servicing I bought a new KIA seltos. But in new car hearing many noises in the car. In Ludhiana Punjab, no one can hear my problem. I m fed up with my car. Please buy your own risk. Don't buy this. It's my big mistake to buy this car","November 26, 2019",1,carwale.com,Kia,-0.9025,4 servicing bought new new hearing many noises ludhiana punjab one hear problem fed please buy risk buy big mistake buy
"Car is very good but Customer care service is very very poor. Even after 1 week of purchase, UVO app could not be activated in my mobile. Called customer care twice but could not be solved. Sent an email but they did not give any acknowledgement for the mail even after 4 days. If customer care is not able to provide support to only 15000 sold units, how they will be able to support in future when a large number of cars will be sold.","October 15, 2019",4,carwale.com,Kia,0.9461,good customer care service poor even 1 week purchase uvo app could activated mobile called customer care twice could solved sent email give acknowledgement mail even 4 days customer care able provide support 15000 sold units able support future large number cars sold
Top model is very costly .is 15+ lacs. So for 15+ budget I go fo MG Hector. Nodought car looking is very good. Interior and exterior is very good. At least 4air bag should be compulsory in each model.,"September 08, 2019",5,carwale.com,Kia,0.7574,top model costly 15 lacs 15 budget go fo nodought looking good interior exterior good least 4air bag compulsory model
After paying almost 17 to 18 lakhs all you get is dual air airbags abs and ebd ...it should be 6 airbags... brake assist..esp ....hill start assist.... traction control. This features we get Ford EcoSport which is much cheaper compared to seltos.,"September 13, 2019",2,carwale.com,Kia,0.0,paying almost 17 18 lakhs get dual air airbags abs ebd 6 airbags brake assist esp hill start assist traction control features get ford ecosport much cheaper compared
suspension of the car is very soft tuned. if 3persons sits on the rear side with no luggage in boot ground clearance of car reduces from 190 mm to 150 mm. Gap bet.clading and tyre disappears.,"September 26, 2019",3,carwale.com,Kia,-0.5574,suspension soft tuned 3persons sits rear side luggage boot ground clearance reduces 190 mm 150 mm gap bet clading tyre disappears
"I had booked the HTK plus automatic diesel, the car looks good from inside and outside but when I took the test drive it was very underpowered car 1.5 with 115 bhp is very less for a car of this size, no punch in the engine. Please don't go on the looks, I feel the car is not up to date in terms of safety & the gearbox is also very slow to respond, 0 to 100 takes 12 seconds","October 05, 2019",2,carwale.com,Kia,0.7003,booked htk plus automatic diesel looks good inside outside took test drive underpowered 1 5 115 bhp less size punch engine please go looks feel date terms safety gearbox also slow respond 0 100 takes 12 seconds
"I've done pre-booking on 1st day of bookings opened i.e. 16th July, 2019 at Noida dealer, my booking s.no. was 157, but neither dealer nor KIA motors could inform me of the delivery date even after 3 months of booking, when I finally cancelled my booking, after getting disappointed. There's no transparency being adhered to for delivery of cars, don't know who is at fault; dealers or KIA Motors.","October 05, 2019",2,carwale.com,Kia,-0.97,done pre booking 1st day bookings opened e 16th july 2019 noida dealer booking 157 neither dealer motors could inform delivery date even 3 months booking finally cancelled booking getting disappointed transparency adhered delivery cars know fault dealers motors
High price in all diesel models compare to petrol versions for same features i don't understand why kia charging extra money for same features in diesel variants car looks are awesome but price always matter i hope they fix this problem soon as possible. I am also excited for the car but extra price for same features stopping me to buy kia seltos. I hope they will fix the problem soon to get customers.,"August 26, 2019",2,carwale.com,Kia,0.8739,high price diesel models compare petrol versions features understand charging extra money features diesel variants looks awesome price always matter hope fix problem soon possible also excited extra price features stopping buy hope fix problem soon get customers
"I don't understand that why Kia not offering safety features in this variant like 6 airbags and other features very disappointed Then what is the benefit of taking the top end variant of diesel Why is the GT line being given so much importance, Should have given all the features with the diesel version too I hope Kia is noticed","September 09, 2019",2,carwale.com,Kia,-0.0807,understand offering safety features variant like 6 airbags features disappointed benefit taking top end variant diesel gt line given much importance given features diesel version hope noticed
"This car is so amazing the looks are extravagant.., I just book this car and I m waiting eagerly for its delivery...The front end of the Seltos is particularly impressive – the huge ‘Tiger Nose’ grille is Kia’s design trademark. The entry-level engine will be a 1.5-litre naturally aspirated petrol engine, producing 113bhp and 144Nm, The quality levels of the Seltos – of both versions of the car that we tested – are simply phenomenal. From plastics and soft-touch surfaces to digital screens and general fit-and-finish, everything is simply class-leading.","August 24, 2019",5,carwale.com,Kia,0.9277,amazing looks extravagant book waiting eagerly delivery front end particularly impressive huge tiger nose grille design trademark entry level engine 1 5 litre naturally aspirated petrol engine producing 113bhp 144nm quality levels versions tested simply phenomenal plastics soft touch surfaces digital screens general fit finish everything simply class leading
"First of all, I would like to confess that I am very obsessed with my car. I was very nervous while buying this car as Kia was launching its first vehicle in India. I took a test drive for at least seven to eight times before I made my decision to finally buy this. When I took the first test drive I was blown away when I listened to the audio quality of bose speakers. It was an amazing experience it was like I was in a live concert on the front sofa. The driving quality was also awesome. It runs like butter. Build quality could have been better. I strongly recommend this beast to anyone who really wants to enjoy driving with great entertainment.","November 30, 2019",5,carwale.com,Kia,0.9741,first would like confess obsessed nervous buying launching first vehicle india took test drive least seven eight times made decision finally buy took first test drive blown away listened audio quality bose speakers amazing experience like live concert front sofa driving quality also awesome runs like butter build quality could better strongly recommend beast anyone really wants enjoy driving great entertainment
Worst car no performance.its just for look My previous car was s-cross i tought Kia(seltos) will perform very well when compare with s- cross. Even I used shift also Compare with those cars SELTOS is worst,"August 29, 2019",1,carwale.com,Kia,-0.8405,worst performance look previous cross tought perform well compare cross even used shift also compare cars worst
"Too many variants to choose. Ultimate strategy is to push custimers for top spec variants . Cheap strategy from the company. The price should be less compared to its compitetors when it is locally manufactured, they missed that one. MG hector is best when compared to seltos in all aspects. Looking forward in future","September 19, 2019",2,carwale.com,Kia,0.5859,many variants choose ultimate strategy push custimers top spec variants cheap strategy company price less compared compitetors locally manufactured missed one best compared aspects looking forward future
"Don't buy this car, they don't have any customer service. The milage of the car is under 10. Only exteriors are looking good, but built quality is inferior. Delivery may take 100 days. Led experience is very bad. No service center to get car repaired.","December 04, 2019",1,carwale.com,Kia,-0.9002,buy customer service milage 10 exteriors looking good built quality inferior delivery may take 100 days led experience bad service center get repaired
Great car.. far more better then Creta.. excellent biult quality & loads of features..better driving experience on bumpy roads.. no sound of diesel engine inside the car.. feels just like you are driving a petrol model?,"September 16, 2019",5,carwale.com,Kia,0.9061,great far better creta excellent biult quality loads features better driving experience bumpy roads sound diesel engine inside feels like driving petrol model
The car is a Premium suv car. To improve our style & personality. Lots of features & safety advantage in this car. This is so my feature & lots fun in this car. I am glad to join in kia motors & kia family to share this wonderful experience. If more details then Contact me 7*2*****68 Niral Meswaniya ,"August 22, 2019",5,carwale.com,Kia,0.9076,premium suv improve style personality lots features safety advantage feature lots fun glad join motors family share wonderful experience details contact 7 2 68 niral meswaniya
An amazing car with muscular body structure and bit more comfort inside And dont underrate the power of 1.5 diesel motor Its the most feature full car in its segment I didnt drive the petrol one but it is definitely good option also Fule economi is also decent considering its price range All-over a good package in its segment,"August 22, 2019",5,carwale.com,Kia,0.9387,amazing muscular body structure bit comfort inside dont underrate power 1 5 diesel motor feature full segment didnt drive petrol one definitely good option also fule economi also decent considering price range good package segment
"Awesome car with lot of features loaded and driving experience is jus mind-blowing. Best car in the segment no doubt. Many segment first features will impressive you and with the pricing undoubtedly Kia Seltos will rule the segment. I am 6"" and felt very much comfortable in front and rear seats as well. Turbo Petrol ultimate power ratios.","August 22, 2019",5,carwale.com,Kia,0.8548,awesome lot features loaded driving experience jus mind blowing best segment doubt many segment first features impressive pricing undoubtedly rule segment 6 felt much comfortable front rear seats well turbo petrol ultimate power ratios
Beauty and the beast itself a car with excellent performance with modern styling unique at reasonable price with all these features this car will definitely give hard time to its rivals In all weather conditions it performance is enough to lure drivers from highways to mountains car performance always give confidence to its driver.,"August 24, 2019",5,carwale.com,Kia,0.9201,beauty beast excellent performance modern styling unique reasonable price features definitely give hard time rivals weather conditions performance enough lure drivers highways mountains performance always give confidence driver
Great car and having macho look.Provide an excellent features at lower price also.Value for money. Very impressive design.Interior is far better than other same segment SUVs.Best SUV in its segment.,"September 10, 2019",4,carwale.com,Kia,0.92,great macho look provide excellent features lower price also value money impressive design interior far better segment suvs best suv segment
"It's awesome car, I would like to buy but i am confused which models, I am confused and I think htk is best value for money and gtk is best to buy but i am confused please tell me.","September 10, 2019",5,carwale.com,Kia,0.9337,awesome would like buy confused models confused think htk best value money gtk best buy confused please tell
"The car is jerky and priced very high for the kind of room it provides. Interior is good and good color choices but is unlike price wise in the same category. Captur diesel at 12.5 lakh manual fully loaded is a much better choice. The car is good for highway drive. However, the initial pick up is jerky and is not properly tuned with DCT.","August 24, 2019",3,carwale.com,Kia,0.9408,jerky priced high kind room provides interior good good color choices unlike price wise category captur diesel 12 5 lakh manual fully loaded much better choice good highway drive however initial pick jerky properly tuned dct
The car is very luxurious and Audi also can't defeat this car.If you are planning to take a luxurious car at the lowest price this is the right car.The sound of the engine from the cabin is not heard.But the one didn'tlike is that the model.In GT line diesel engine is not available only the petrol engine is available THIS CAR IS CRAZY AND AMAZING.,"August 24, 2019",5,carwale.com,Kia,0.6265,luxurious audi also defeat planning take luxurious lowest price right sound engine cabin heard one tlike model gt line diesel engine available petrol engine available crazy amazing
Htx plus have 40 to 50 thousand high priced according to its size and less features as compare to GT line .A new company new product and less market value because of new brand starting period price is high . To make the customer trust and good value for money product kia have need to reduce the price,"August 24, 2019",4,carwale.com,Kia,0.795,htx plus 40 50 thousand high priced according size less features compare gt line new company new product less market value new brand starting period price high make customer trust good value money product need reduce price
Drive comfort is good Suspension is not up to the mark Interior is awesome Mileage is fair Wheel base is 17’ Leg room is quiet sufficient Projector lights from base version Fair boot space,"September 01, 2019",4,carwale.com,Kia,0.9201,drive comfort good suspension mark interior awesome mileage fair wheel base 17 leg room quiet sufficient projector lights base version fair boot space
Too many variants makes us confused. All safety features provided in GT line and only 2 safety options provided in Tech line. Only GT line being promoted and Tech line cars showed as poor man car. Very less cabin space same as hatchback car. Still confused to buy or not. Top end not being justified against their price approx 19.5 lakhs.,"August 29, 2019",3,carwale.com,Kia,0.5448,many variants makes us confused safety features provided gt line 2 safety options provided tech line gt line promoted tech line cars showed poor man less cabin space hatchback still confused buy top end justified price approx 19 5 lakhs
Dream vehicle. Now indian car industry got the real worth car. This is the car we are waiting. All the very best Kia motors. Kia will ruin the next era of Indian car industry. Kia keee jai. Kia... Kia... Kia. All the features added in the car is very price worthy... Love u Kia motors... Where are you till now?,"August 22, 2019",5,carwale.com,Kia,-0.9463,dream vehicle indian industry got real worth waiting best motors ruin next era indian industry keee jai features added price worthy love u motors till
"Firstly Kia entered into Indian market like a Super star movie, most of the people are waiting for its launch eagarly since ever it got into design & finally it came with the best quality fit & finish, with very modern looks with practical features & many 1st in segment features which even doesn't have in much upper segment cars also, surely Seltos will do well in auto market right now with even slow down","August 22, 2019",5,carwale.com,Kia,0.9169,firstly entered indian market like super star movie people waiting launch eagarly since ever got design finally came best quality fit finish modern looks practical features many 1st segment features even much upper segment cars also surely well auto market right even slow
"I took test drive HTX plus MT car (diesel) on Guntur Chennai National high way and the drive was superb. I drove it just 20 Kms, touched 150km and vehicle was sturdy and very nice. Car is really good and your (CARWALE)analysis helped me a lot in choosing GT line. In fact I have booked GTX plus 1.4 and taking delivery on Sunday. I will post my full fledged reviews later. THANK YOU","September 06, 2019",5,carwale.com,Kia,0.9473,took test drive htx plus mt diesel guntur chennai national high way drive superb drove 20 kms touched 150km vehicle sturdy nice really good carwale analysis helped lot choosing gt line fact booked gtx plus 1 4 taking delivery sunday post full fledged reviews later thank
The all new KIA Seltos is an amazing car with a lot of power the car has any amazing power which reaches 0-100 in 6 second in top variant and the infotainment is amazing that no one would get bored in their journey regarding comfort it comes with a leather it gives immense comfort but rear leg room is a bit low hence it gives a bit discomfort for personal who require a lot space the telematic function gives a high level of security and convenience. The exterior lighting is amazing that the lamp shines too bright it gives a bright visibility in dark road.Out of 10 I would rate 9 for the car,"August 25, 2019",5,carwale.com,Kia,0.9236,new amazing lot power amazing power reaches 0 100 6 second top variant infotainment amazing one would get bored journey regarding comfort comes leather gives immense comfort rear leg room bit low hence gives bit discomfort personal require lot space telematic function gives high level security convenience exterior lighting amazing lamp shines bright gives bright visibility dark road 10 would rate 9
Overall is good excellent clutch gear space is very good overall car is very nice diesel model is very good I have a good experience The car interior is cool Car maintenance 3 years warranty is excellent Boot space is good This is car actual xuv off road on road driving is very smooth I like this girl,"August 25, 2019",4,carwale.com,Kia,0.9819,overall good excellent clutch gear space good overall nice diesel model good good experience interior cool maintenance 3 years warranty excellent boot space good actual xuv road road driving smooth like girl
"Kia Motors Very Beauty Full Design and Good Looking and Class Smart Interiors and Very smooth driving. We have also booked the seltos top model deisal variant. We will tell all our friends that in this budget, any S U V is much better than taking seltos","August 23, 2019",5,carwale.com,Kia,0.9061,motors beauty full design good looking class smart interiors smooth driving also booked top model deisal variant tell friends budget u v much better taking
